,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,testId,instanceId
2700,1,False,experiment.drivers.AlejaStackTestDriver@3abfe836,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035798:4d110540-f49e-412c-9705-c3939606597a,1607319035798:efdc74c6-288d-4f08-bce3-bddfb4397cdf
2723,1,False,experiment.drivers.AlejaStackTestDriver@2ff5659e,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035798:1b6a4d43-4233-4134-95da-3e735094b9b9,1607319035798:c05d6f0d-d5e0-42d8-a976-92ffd6f02a54
2750,1,False,experiment.drivers.AlejaStackTestDriver@77afea7d,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035798:1b6a4d43-4233-4134-95da-3e735094b9b9,1607319035813:ce5cf41d-64b6-4547-bfa2-a30f69e3dcab
2752,2,False,experiment.drivers.AlejaStackTestDriver@77afea7d,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035798:1b6a4d43-4233-4134-95da-3e735094b9b9,1607319035813:fe98045c-2766-4d57-a074-c58707e99aba
2753,4,False,experiment.drivers.AlejaStackTestDriver@161cd475,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035798:1b6a4d43-4233-4134-95da-3e735094b9b9,1607319035813:eaa18ab8-499c-4c04-a728-585ae88b0fc9
2754,3,False,experiment.drivers.AlejaStackTestDriver@532760d8,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035798:1b6a4d43-4233-4134-95da-3e735094b9b9,1607319035813:9054248a-7963-406a-861e-a5e3269e96be
2764,1,False,experiment.drivers.AlejaStackTestDriver@57fa26b7,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:66904eea-50f1-4936-87a6-7ac36314b086,1607319035813:20ea0e50-3a4d-4de1-ad71-d948b9f5bceb
2775,3,False,experiment.drivers.AlejaStackTestDriver@5f8ed237,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:66904eea-50f1-4936-87a6-7ac36314b086,1607319035813:201b3632-ccca-4a34-9339-b5728ee8f8a5
2778,1,False,experiment.drivers.AlejaStackTestDriver@2f410acf,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:66904eea-50f1-4936-87a6-7ac36314b086,1607319035813:1f23ff27-151f-4a5d-8ebc-f49e5faa4392
2789,3,False,experiment.drivers.AlejaStackTestDriver@47089e5f,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:ad35df03-ae71-4a75-b9f7-ca8cade48ffd,1607319035813:af73439d-986a-408d-8c74-5d146547e409
2812,1,False,experiment.drivers.AlejaStackTestDriver@4141d797,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:ad35df03-ae71-4a75-b9f7-ca8cade48ffd,1607319035813:42bec395-0215-4001-89d0-fe1acbc78659
2818,3,False,experiment.drivers.AlejaStackTestDriver@68f7aae2,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:ad35df03-ae71-4a75-b9f7-ca8cade48ffd,1607319035813:af73439d-986a-408d-8c74-5d146547e409
2826,4,False,experiment.drivers.AlejaStackTestDriver@4f47d241,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:ad35df03-ae71-4a75-b9f7-ca8cade48ffd,1607319035813:c8e9455c-8b73-4c3e-8c96-76ac497dc50a
2840,1,False,experiment.drivers.AlejaStackTestDriver@4c3e4790,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:5e6bd320-9201-465a-bb47-b2ccca580b97,1607319035813:ebca506a-45b5-4bf1-a7db-36aa808a0b06
2842,1,False,experiment.drivers.AlejaStackTestDriver@38cccef,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:5e6bd320-9201-465a-bb47-b2ccca580b97,1607319035813:8c865546-8ee7-49a3-96ea-ab1afd5ce441
2845,2,False,experiment.drivers.AlejaStackTestDriver@5679c6c6,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:5e6bd320-9201-465a-bb47-b2ccca580b97,1607319035813:8c865546-8ee7-49a3-96ea-ab1afd5ce441
2859,1,False,experiment.drivers.AlejaStackTestDriver@27ddd392,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:6a9ef625-1117-4b04-92e2-f61d3344b528,1607319035813:80c5eb09-dd4c-4427-b2fe-fc93dab3bb94
2869,2,False,experiment.drivers.AlejaStackTestDriver@19e1023e,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:6a9ef625-1117-4b04-92e2-f61d3344b528,1607319035813:80c5eb09-dd4c-4427-b2fe-fc93dab3bb94
2890,3,False,experiment.drivers.AlejaStackTestDriver@7cef4e59,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:35cbdf05-ebb0-4d3a-a096-e2c228f90444,1607319035813:0a2f8e03-86ab-4494-bc30-f9ae8b328341
2891,2,False,experiment.drivers.AlejaStackTestDriver@7cef4e59,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:35cbdf05-ebb0-4d3a-a096-e2c228f90444,1607319035813:89e8b428-5a69-4cac-b980-d36681bd1a11
2908,1,False,experiment.drivers.AlejaStackTestDriver@64b8f8f4,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:35cbdf05-ebb0-4d3a-a096-e2c228f90444,1607319035813:f4964ec7-9fe2-4d24-8f4a-2bdd8c76425b
2913,3,False,experiment.drivers.AlejaStackTestDriver@64b8f8f4,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:35cbdf05-ebb0-4d3a-a096-e2c228f90444,1607319035813:89e8b428-5a69-4cac-b980-d36681bd1a11
2919,2,False,experiment.drivers.AlejaStackTestDriver@2db0f6b2,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:35cbdf05-ebb0-4d3a-a096-e2c228f90444,1607319035813:45d5b235-6200-4121-8893-7cf110dfc584
2933,1,False,experiment.drivers.AlejaStackTestDriver@3cd1f1c8,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:35cbdf05-ebb0-4d3a-a096-e2c228f90444,1607319035813:0e6297fd-f242-46ec-a67b-11d515a09dc9
2947,1,False,experiment.drivers.AlejaStackTestDriver@3a4afd8d,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:24268461-3cd2-44f4-94bb-5748069bc83b,1607319035813:7138b42a-ed66-4a99-8f9d-464142972753
2949,2,False,experiment.drivers.AlejaStackTestDriver@3a4afd8d,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:24268461-3cd2-44f4-94bb-5748069bc83b,1607319035813:8ee12a58-925f-43a1-bd8f-e7d62bc993c2
2950,1,False,experiment.drivers.AlejaStackTestDriver@1996cd68,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:24268461-3cd2-44f4-94bb-5748069bc83b,1607319035813:9c8d1e98-81d1-4d3d-9246-48b796be608b
2953,1,False,-1,class java.lang.Long,push,class java.lang.Long,No,1607319035813:24268461-3cd2-44f4-94bb-5748069bc83b,1607319035813:8ee12a58-925f-43a1-bd8f-e7d62bc993c2
2970,4,False,experiment.drivers.AlejaStackTestDriver@3339ad8e,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:30863123-11ae-4ab5-81da-acb995bfc7db,1607319035813:d98c225d-796f-40a5-b7b8-67b1ec709957
2989,2,False,experiment.drivers.AlejaStackTestDriver@555590,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:6ee8e3c6-a0b9-4831-b817-b89f9f176635,1607319035813:fc5ebce3-20ce-449a-8dc2-499cacb93de6
3000,1,False,experiment.drivers.AlejaStackTestDriver@6d1e7682,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:6ee8e3c6-a0b9-4831-b817-b89f9f176635,1607319035813:bc51ad03-41fa-453a-bf16-14cac525cc6b
3001,2,False,experiment.drivers.AlejaStackTestDriver@6d1e7682,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:6ee8e3c6-a0b9-4831-b817-b89f9f176635,1607319035813:fc5ebce3-20ce-449a-8dc2-499cacb93de6
3018,3,False,experiment.drivers.AlejaStackTestDriver@424c0bc4,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:b9e06215-af0a-4e69-80c3-43b7cef9f653,1607319035813:c8dbab8c-9073-4ad2-85f6-750593ff4c72
3019,2,False,experiment.drivers.AlejaStackTestDriver@424c0bc4,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:b9e06215-af0a-4e69-80c3-43b7cef9f653,1607319035813:2e06cf06-8736-4579-891b-736dc1c9c97e
3036,1,False,experiment.drivers.AlejaStackTestDriver@3c679bde,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:b9e06215-af0a-4e69-80c3-43b7cef9f653,1607319035813:3811811b-f9e8-41cd-bf34-2a4d7a78e5bb
3041,3,False,experiment.drivers.AlejaStackTestDriver@3c679bde,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:b9e06215-af0a-4e69-80c3-43b7cef9f653,1607319035813:2e06cf06-8736-4579-891b-736dc1c9c97e
3063,1,False,experiment.drivers.AlejaStackTestDriver@16b4a017,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:b9e06215-af0a-4e69-80c3-43b7cef9f653,1607319035813:7cdc4f71-cf08-473d-8fb8-1546126c0c36
3070,4,False,experiment.drivers.AlejaStackTestDriver@8807e25,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:b9e06215-af0a-4e69-80c3-43b7cef9f653,1607319035813:2e06cf06-8736-4579-891b-736dc1c9c97e
3080,3,False,experiment.drivers.AlejaStackTestDriver@2a3046da,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:a7aac978-dbb3-46c1-bfe1-50e5cdbe80ae,1607319035813:5ec216ce-7bd4-4edf-9b9c-2421ad4f75b9
3103,3,False,experiment.drivers.AlejaStackTestDriver@2a098129,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:a7aac978-dbb3-46c1-bfe1-50e5cdbe80ae,1607319035813:67de00ca-069b-44f4-b47c-6e689bb5a335
3104,2,False,experiment.drivers.AlejaStackTestDriver@2a098129,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:a7aac978-dbb3-46c1-bfe1-50e5cdbe80ae,1607319035813:f48da99b-388b-4c34-be06-643ac6e3acaf
3121,1,False,experiment.drivers.AlejaStackTestDriver@198e2867,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:a7aac978-dbb3-46c1-bfe1-50e5cdbe80ae,1607319035813:7e706398-3ff0-425d-8bdb-1b6b91ffdcac
3126,3,False,experiment.drivers.AlejaStackTestDriver@198e2867,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:a7aac978-dbb3-46c1-bfe1-50e5cdbe80ae,1607319035813:f48da99b-388b-4c34-be06-643ac6e3acaf
3138,1,False,experiment.drivers.AlejaStackTestDriver@12f40c25,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:a7aac978-dbb3-46c1-bfe1-50e5cdbe80ae,1607319035813:6f4b7769-358c-4b80-b444-2e9e603dc51c
3140,2,False,experiment.drivers.AlejaStackTestDriver@12f40c25,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:a7aac978-dbb3-46c1-bfe1-50e5cdbe80ae,1607319035813:5ec216ce-7bd4-4edf-9b9c-2421ad4f75b9
3153,1,False,experiment.drivers.AlejaStackTestDriver@3ada9e37,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:b0a36542-b7c1-4591-bfb0-1ca2b3064809,1607319035813:f1c60aec-0f47-4f05-85f9-6586170ad35a
3171,1,False,experiment.drivers.AlejaStackTestDriver@5cbc508c,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:deaebb6a-bbdc-4cd2-936e-477748bc3800,1607319035813:99e6b708-6b9a-4495-8786-31fccbd6b781
3183,1,False,experiment.drivers.AlejaStackTestDriver@3419866c,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:deaebb6a-bbdc-4cd2-936e-477748bc3800,1607319035813:b2f15407-1ae9-434c-be38-4103b5339b0e
3185,2,False,experiment.drivers.AlejaStackTestDriver@3419866c,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:deaebb6a-bbdc-4cd2-936e-477748bc3800,1607319035813:ba9b4603-8b42-4f0b-88f8-c7bde0965abc
3186,1,False,experiment.drivers.AlejaStackTestDriver@63e31ee,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:deaebb6a-bbdc-4cd2-936e-477748bc3800,1607319035813:a38092fa-ba13-478b-a2b5-76a2e430a613
3187,2,False,experiment.drivers.AlejaStackTestDriver@63e31ee,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:deaebb6a-bbdc-4cd2-936e-477748bc3800,1607319035813:99e6b708-6b9a-4495-8786-31fccbd6b781
3204,1,False,experiment.drivers.AlejaStackTestDriver@68fb2c38,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:6a673bcf-629f-4cac-8544-d3f15b1beccb,1607319035813:a4745246-382f-426d-b1e6-9754a1907869
3227,1,False,experiment.drivers.AlejaStackTestDriver@567d299b,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:6a673bcf-629f-4cac-8544-d3f15b1beccb,1607319035813:d3d066fe-29f8-415d-b8c6-c9797872ebbe
3251,2,False,experiment.drivers.AlejaStackTestDriver@2eafffde,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:fbf46d4b-c129-4389-98ea-ad5e273c64f8,1607319035813:26002878-439e-46a7-98aa-109837ab2713
3268,3,False,experiment.drivers.AlejaStackTestDriver@59690aa4,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:fbf46d4b-c129-4389-98ea-ad5e273c64f8,1607319035813:15d17506-9538-4cf7-a69e-cfdbd7f1156e
3269,2,False,experiment.drivers.AlejaStackTestDriver@59690aa4,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:fbf46d4b-c129-4389-98ea-ad5e273c64f8,1607319035813:e3b30c5d-723f-49e6-8298-41eb8e9cbd7f
3286,1,False,experiment.drivers.AlejaStackTestDriver@6842775d,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:fbf46d4b-c129-4389-98ea-ad5e273c64f8,1607319035813:182e3372-96f8-458d-8dc2-e036d487bccc
3291,3,False,experiment.drivers.AlejaStackTestDriver@6842775d,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:fbf46d4b-c129-4389-98ea-ad5e273c64f8,1607319035813:e3b30c5d-723f-49e6-8298-41eb8e9cbd7f
3292,2,False,experiment.drivers.AlejaStackTestDriver@6842775d,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:fbf46d4b-c129-4389-98ea-ad5e273c64f8,1607319035813:26002878-439e-46a7-98aa-109837ab2713
3306,1,False,experiment.drivers.AlejaStackTestDriver@574caa3f,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:ecd13b81-e5ad-4688-a11f-ece4234fc668,1607319035813:2a24679a-a3df-4538-80a6-0cd9aa4884d4
3329,1,False,experiment.drivers.AlejaStackTestDriver@64cee07,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:ecd13b81-e5ad-4688-a11f-ece4234fc668,1607319035813:519eba70-e9be-422c-ac63-d2fcda5df535
3351,1,False,experiment.drivers.AlejaStackTestDriver@1761e840,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:811e2f07-93c1-4e11-a514-61179a41f855,1607319035813:9c45431d-e165-4c95-956f-afc9e85afc47
3361,2,False,experiment.drivers.AlejaStackTestDriver@6c629d6e,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:811e2f07-93c1-4e11-a514-61179a41f855,1607319035813:9c45431d-e165-4c95-956f-afc9e85afc47
3389,2,False,experiment.drivers.AlejaStackTestDriver@5ecddf8f,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:17bcfc6e-5437-4247-a925-8326f1347373,1607319035813:478ebf57-7afe-4f2e-aedf-75a0af09c6a5
3400,1,False,experiment.drivers.AlejaStackTestDriver@3f102e87,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:17bcfc6e-5437-4247-a925-8326f1347373,1607319035813:74d4c99e-b6f9-4621-abb9-7ecc99d72857
3401,2,False,experiment.drivers.AlejaStackTestDriver@3f102e87,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:17bcfc6e-5437-4247-a925-8326f1347373,1607319035813:478ebf57-7afe-4f2e-aedf-75a0af09c6a5
3416,1,False,experiment.drivers.AlejaStackTestDriver@27abe2cd,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:7ff081c3-b728-4136-a0b2-5bc36d27361b,1607319035813:a4bdb0f6-fa89-405d-8445-3b61ecc49b68
3418,2,False,experiment.drivers.AlejaStackTestDriver@27abe2cd,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:7ff081c3-b728-4136-a0b2-5bc36d27361b,1607319035813:03b55e08-16cf-4e7c-a70b-22090d7f0592
3419,1,False,experiment.drivers.AlejaStackTestDriver@5f5a92bb,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:7ff081c3-b728-4136-a0b2-5bc36d27361b,1607319035813:97f4195c-919d-4216-9bc1-2fdc3cd4c50a
3446,1,False,experiment.drivers.AlejaStackTestDriver@6fdb1f78,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:7ff081c3-b728-4136-a0b2-5bc36d27361b,1607319035813:499a6919-bad5-4513-903d-83a919a658db
3448,2,False,experiment.drivers.AlejaStackTestDriver@6fdb1f78,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:7ff081c3-b728-4136-a0b2-5bc36d27361b,1607319035813:285915b9-2953-4b14-a579-7a611b4ed4f1
3449,4,False,experiment.drivers.AlejaStackTestDriver@51016012,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:7ff081c3-b728-4136-a0b2-5bc36d27361b,1607319035813:fdf95933-adec-4504-8929-8cb0ed03fe72
3450,2,False,experiment.drivers.AlejaStackTestDriver@29444d75,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:7ff081c3-b728-4136-a0b2-5bc36d27361b,1607319035813:03b55e08-16cf-4e7c-a70b-22090d7f0592
3456,5,False,class experiment.drivers.AlejaStackTestDriver,class java.lang.Class,push,class java.lang.Class,No,1607319035813:7ff081c3-b728-4136-a0b2-5bc36d27361b,1607319035813:fdf95933-adec-4504-8929-8cb0ed03fe72
3473,1,False,experiment.drivers.AlejaStackTestDriver@2280cdac,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:8af55d11-088a-4b80-89d8-8a68f1cf1c0e,1607319035813:04819dcb-1c8a-4155-8210-8b515eecbf00
3493,3,False,10.0,class java.lang.Float,pop,none,No,1607319035813:8af55d11-088a-4b80-89d8-8a68f1cf1c0e,1607319035813:04819dcb-1c8a-4155-8210-8b515eecbf00
3494,2,False,10,class java.lang.Short,pop,none,No,1607319035813:8af55d11-088a-4b80-89d8-8a68f1cf1c0e,1607319035813:04819dcb-1c8a-4155-8210-8b515eecbf00
3506,1,False,experiment.drivers.AlejaStackTestDriver@1517365b,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:cdb7f8d9-3344-4007-9985-34cda384a297,1607319035813:ae21b7ae-50f4-4e10-abb8-3d7629853d9a
3508,2,False,experiment.drivers.AlejaStackTestDriver@1517365b,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:cdb7f8d9-3344-4007-9985-34cda384a297,1607319035813:83132c50-af10-4a17-abbb-d7b8f0b2b414
3509,1,False,experiment.drivers.AlejaStackTestDriver@4fccd51b,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:cdb7f8d9-3344-4007-9985-34cda384a297,1607319035813:72a024ce-af38-4cc5-81be-87796f7798cf
3527,1,False,experiment.drivers.AlejaStackTestDriver@44e81672,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:57dcc2c4-c64a-4897-a4c0-3b9433e9dd59,1607319035813:150c0763-41f6-488e-8924-01ab0d6597e4
3553,2,False,experiment.drivers.AlejaStackTestDriver@60215eee,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:52599a6c-9762-4d13-b80a-393a5ea65e21,1607319035829:51919baf-5047-4313-9c10-1614ae40369c
3564,1,False,experiment.drivers.AlejaStackTestDriver@4ca8195f,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:52599a6c-9762-4d13-b80a-393a5ea65e21,1607319035829:72e850b0-eb67-4127-b3fc-ff748a06f48b
3565,2,False,experiment.drivers.AlejaStackTestDriver@4ca8195f,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035813:52599a6c-9762-4d13-b80a-393a5ea65e21,1607319035829:51919baf-5047-4313-9c10-1614ae40369c
3579,2,False,,class java.lang.String,push,class java.lang.String,No,1607319035829:dbe1554f-90a6-4e7a-bd9c-14fb7d437131,1607319035829:06be9176-97b3-4052-bae7-5bf3baf99dc3
3618,4,False,experiment.drivers.AlejaStackTestDriver@65e579dc,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035829:0e9d96a2-cb45-4686-9392-50dcb936a555,1607319035829:6580cae6-5584-4016-b8f4-275b4f4dbdf4
3619,1,False,experiment.drivers.AlejaStackTestDriver@65e579dc,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035829:0e9d96a2-cb45-4686-9392-50dcb936a555,1607319035829:83cedfde-e531-460d-b2fc-6007af22be00
3655,3,False,experiment.drivers.AlejaStackTestDriver@61baa894,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035829:65e2dab4-98d6-41d2-92cf-58aed37a55f0,1607319035829:7441171d-bed6-45d3-81ca-e47fb661f1cb
3658,4,False,false,class java.lang.Boolean,push,class java.lang.Boolean,No,1607319035829:65e2dab4-98d6-41d2-92cf-58aed37a55f0,1607319035829:2df28383-bca4-4149-b6e6-094fc84d4326
3680,1,False,experiment.drivers.AlejaStackTestDriver@b065c63,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035829:d66574a8-c0b9-43ba-9dba-6b9969d7e2ad,1607319035829:7738d990-345a-425b-b4d0-a2594cf2d913
3694,3,False,experiment.drivers.AlejaStackTestDriver@768debd,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035829:060fc24e-9e1e-409a-9f34-1cdda3593b98,1607319035829:fafba210-3781-49f5-bba9-e8355e76b4ce
3717,1,False,experiment.drivers.AlejaStackTestDriver@490d6c15,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035829:060fc24e-9e1e-409a-9f34-1cdda3593b98,1607319035829:59bac3bb-5ebc-4fc1-b105-7b06ef335caf
3733,3,False,experiment.drivers.AlejaStackTestDriver@7d4793a8,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035829:060fc24e-9e1e-409a-9f34-1cdda3593b98,1607319035829:e15cf184-4edd-404d-a17b-689098d532c2
3734,3,False,experiment.drivers.AlejaStackTestDriver@449b2d27,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035829:060fc24e-9e1e-409a-9f34-1cdda3593b98,1607319035829:4c217414-9e91-4a22-a847-7adb293975ac
3735,2,False,true,class java.lang.Boolean,pop,none,No,1607319035829:060fc24e-9e1e-409a-9f34-1cdda3593b98,1607319035829:4c217414-9e91-4a22-a847-7adb293975ac
3741,3,False,experiment.drivers.AlejaStackTestDriver@5479e3f,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035829:060fc24e-9e1e-409a-9f34-1cdda3593b98,1607319035829:4c217414-9e91-4a22-a847-7adb293975ac
3770,1,False,experiment.drivers.AlejaStackTestDriver@27082746,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035829:23c48328-db01-4e07-a1e2-4334fc75746e,1607319035829:f0e2c47c-5a3d-4922-811f-aaef193ac127
3780,2,False,experiment.drivers.AlejaStackTestDriver@66133adc,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035829:23c48328-db01-4e07-a1e2-4334fc75746e,1607319035829:f0e2c47c-5a3d-4922-811f-aaef193ac127
